payment_id,customer_id,amount,currency,failure_reason,failure_message,attempt_count,customer_success_rate,previous_payments,subscription_status,days_since_failure,previous_recovery_attempts,payment_already_succeeded,ground_truth_action,ground_truth_recoverable,simulated_outcome
P0001,C1089,799.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,1,0.89,15,NONE,0.01,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0002,C1828,8999.0,INR,BANK_ERROR,Issuer returned a temporary processing error,0,1.0,26,NONE,0.22,0,False,RETRY_PAYMENT,True,FAIL
P0003,C1003,8999.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,1,0.82,11,ACTIVE,0.5,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0004,C1081,299.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,1,0.68,2,NONE,0.05,0,False,WAIT_AND_RETRY,True,SUCCESS
P0005,C1276,2999.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,0,0.73,38,NONE,2.27,1,False,WAIT_AND_RETRY,True,SUCCESS
P0006,C1671,599.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,1,0.71,36,NONE,3.46,0,False,WAIT_AND_RETRY,True,SUCCESS
P0007,C1093,1299.0,INR,REPEATED_FAILURE,Multiple consecutive failures on this payment,3,0.76,37,NONE,0.04,0,False,ESCALATE_TO_HUMAN,False,N/A
P0008,C1965,1499.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,0,0.91,33,NONE,0.05,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0009,C1861,799.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,0,0.86,32,NONE,0.19,0,False,WAIT_AND_RETRY,True,FAIL
P0010,C1851,7999.0,INR,SUBSCRIPTION_FAILURE,Auto-debit for subscription cycle declined,0,0.67,1,ACTIVE,0.41,1,False,CREATE_PAYMENT_LINK,True,SUCCESS
